channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479043596.425087,0
-47172.70847233635,-58574.60153992195,-187500.02235174447,-187500.02235174447,-187500.02235174447,-54942.39836244564,-55288.26925614706,-187500.02235174447,1479043596.91293,0
-46482.88893495667,-58206.22243955403,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55458.63425238541,-55311.023332002565,-187500.02235174447,1479043596.913173,0
-47603.11366356775,-59097.14062179812,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55984.12376452968,-55783.673320254486,-187500.02235174447,1479043596.913385,0
-48437.325470128715,-59597.10444177443,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55561.80990479111,-55838.81507382573,-187500.02235174447,1479043596.913584,0
-47447.36670820317,-58782.226894167296,-187500.02235174447,-187500.02235174447,-187500.02235174447,-54997.92009567262,-55386.371062561404,-187500.02235174447,1479043596.913782,0
-46481.257257611425,-58193.75016614797,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55370.657786209325,-55292.38197712684,-187500.02235174447,1479043596.913966,0
-47374.2318003454,-58944.38880019055,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55990.248142510434,-55730.185595772935,-187500.02235174447,1479043596.914136,0
-48443.87453125412,-59640.13154985089,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55702.648246603996,-55890.51465875086,-187500.02235174447,1479043596.914309,0
-47724.818912126895,-58997.65300722754,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55065.847047072304,-55473.5428659371,-187500.02235174447,1479043596.91448,0
-46534.96849953753,-58212.16800357914,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55267.3480233369,-55255.21102609766,-187500.02235174447,1479043596.914648,0
-47141.86306498803,-58766.0218794372,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55954.55240661531,-55646.76888546573,-187500.02235174447,1479043596.914817,0
-48368.14682103954,-59605.77691862309,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55822.4759486289,-55904.260981590865,-187500.02235174447,1479043596.91499,0
-47954.84071431646,-59168.397983121635,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55143.80993173241,-55543.83910224904,-187500.02235174447,1479043596.915158,0
-46626.8565209933,-58254.03282094393,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55169.00034773354,-55234.02157235403,-187500.02235174447,1479043596.915337,0
-46903.54876560554,-58589.15252556236,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55885.01612961485,-55565.00620424822,-187500.02235174447,1479043596.915525,0
-48227.19672050438,-59531.099740397905,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55932.580641815744,-55917.78378698633,-187500.02235174447,1479043596.9157,0
-48159.18036212688,-59341.445188694626,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55268.82323847094,-55658.99528968278,-187500.02235174447,1479043596.915871,0
-46784.12339498084,-58345.02677262149,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55099.15114631071,-55259.50256103308,-187500.02235174447,1479043596.916041,0
-46712.173129579205,-58433.293811475494,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55782.354567331626,-55493.01123535768,-187500.02235174447,1479043596.916212,0
-48036.044601922586,-59416.34588436436,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55998.004197836424,-55905.49032753591,-187500.02235174447,1479043596.916399,0
-48317.90009950401,-59477.612015916355,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55381.02899563659,-55744.84834013562,-187500.02235174447,1479043596.916567,0
-47001.56116504207,-58483.18290509974,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55057.8451225573,-55303.960180754686,-187500.02235174447,1479043596.916724,0
-46584.20939257257,-58326.78774914596,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55683.58220858362,-55443.077438244516,-187500.02235174447,1479043596.916879,0
-47834.85655008037,-59284.6941095226,-187500.02235174447,-187500.02235174447,-187500.02235174447,-56063.584216068295,-55891.63224597362,-187500.02235174447,1479043596.917056,0
-48436.02906895031,-59598.065566786005,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55528.75167474171,-55847.28638497429,-187500.02235174447,1479043596.917213,0
-47266.45168858191,-58675.36320392647,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55063.544817393406,-55390.32732132999,-187500.02235174447,1479043596.917368,0
-46526.45248490006,-58260.78304776944,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55564.24624493674,-55402.39726333586,-187500.02235174447,1479043596.917522,0
-47611.31675378284,-59125.84026167873,-187500.02235174447,-187500.02235174447,-187500.02235174447,-56081.353852910266,-55858.32814673521,-187500.02235174447,1479043596.917681,0
-48486.320493974745,-59660.02460241612,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55660.135228650004,-55927.50679582439,-187500.02235174447,1479043596.917859,0
-47541.847532015745,-58863.45313351788,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55091.73036715155,-55481.20951428527,-187500.02235174447,1479043596.91805,0
-46525.40195291066,-58223.030951384426,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55439.098827731475,-55370.05428910903,-187500.02235174447,1479043596.918206,0
-47365.73813745238,-58938.19736697643,-187500.02235174447,-187500.02235174447,-187500.02235174447,-56056.47636133151,-55800.12420417359,-187500.02235174447,1479043596.918372,0
-48469.15435423307,-59676.90016947987,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55798.15725066153,-55990.49401169944,-187500.02235174447,1479043596.918526,0
-47809.62143059033,-59070.318528451746,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55170.38615588977,-55596.745681374756,-187500.02235174447,1479043596.918678,0
-46589.685569964124,-58234.76561722346,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55332.4586549352,-55359.43721049276,-187500.02235174447,1479043596.918829,0
-47123.84755895705,-58743.26780358169,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55998.56299144781,-55730.543223684224,-187500.02235174447,1479043596.918986,0
-48374.15944029802,-59620.70788391923,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55892.30279830728,-56005.916715373605,-187500.02235174447,1479043596.91914,0
-48038.12331415693,-59241.309373534845,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55237.21787181114,-55690.131269709025,-187500.02235174447,1479043596.919292,0
-46711.77079817901,-58302.647865134226,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55238.96130787866,-55375.396356033845,-187500.02235174447,1479043596.919442,0
-46920.60314662494,-58588.012586595134,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55934.3017261388,-55674.66386254595,-187500.02235174447,1479043596.919633,0
-48240.47365671083,-59551.39512436332,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55992.840944867254,-56024.11103536023,-187500.02235174447,1479043596.919783,0
-48240.384249733004,-59421.46443384462,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55344.30507949652,-55792.39050059205,-187500.02235174447,1479043596.91993,0
-46880.593524049946,-58419.34632293539,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55162.83126626388,-55403.47014706971,-187500.02235174447,1479043596.920077,0
-46736.558882779944,-58449.23060527213,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55816.68684681498,-55608.480347213794,-187500.02235174447,1479043596.920289,0
-48051.46730559675,-59445.20198645616,-187500.02235174447,-187500.02235174447,-187500.02235174447,-56058.59977705476,-56022.345247548255,-187500.02235174447,1479043596.920455,0
-48394.879507408084,-59564.20267393621,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55465.83151410002,-55890.425251773035,-187500.02235174447,1479043596.920606,0
-47097.27133479969,-58564.85617933943,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55109.63411446025,-55451.034659270605,-187500.02235174447,1479043596.920768,0
-46613.26666036447,-58340.8693481528,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55700.81540355866,-55554.54558784313,-187500.02235174447,1479043596.920942,0
-47822.36192492985,-59290.192638658606,-187500.02235174447,-187500.02235174447,-187500.02235174447,-56096.55303913988,-55995.54550594634,-187500.02235174447,1479043596.921089,0
-48478.9444183045,-59661.70098325026,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55597.25977149723,-55978.871104582686,-187500.02235174447,1479043596.921235,0
-47346.35917500963,-58750.50976878522,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55120.00532388751,-55531.47858756526,-187500.02235174447,1479043596.92138,0
-46549.65359564467,-58282.91127478019,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55593.929361573384,-55524.5048432952,-187500.02235174447,1479043596.92159,0
-47588.27210524942,-59128.902450669106,-187500.02235174447,-187500.02235174447,-187500.02235174447,-56119.3965219732,-55966.063555009794,-187500.02235174447,1479043596.921756,0
-48512.6508489431,-59712.841774564,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55723.27890673625,-56047.80388448285,-187500.02235174447,1479043596.921909,0
-47614.37894277322,-58939.583175132655,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55146.380382344774,-55619.05272234115,-187500.02235174447,1479043596.922058,0
-46552.62637765722,-58238.38659982522,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55453.47099941623,-55478.63906367291,-187500.02235174447,1479043596.922229,0
-47327.60606141163,-58922.886422024545,-187500.02235174447,-187500.02235174447,-187500.02235174447,-56072.34609989478,-55892.83924017421,-187500.02235174447,1479043596.922376,0
-48472.08243275672,-59704.325759926534,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55843.173663994516,-56087.232361702016,-187500.02235174447,1479043596.922523,0
-47867.355986518385,-59121.146395343116,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55195.75538584655,-55701.86593554806,-187500.02235174447,1479043596.922674,0
-46616.261794121485,-58256.066829689364,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55334.44796019173,-55466.21149375576,-187500.02235174447,1479043596.922888,0
-47096.958410377316,-58732.9636493878,-187500.02235174447,-187500.02235174447,-187500.02235174447,-56019.30541030233,-55827.61684985362,-187500.02235174447,1479043596.923034,0
-48368.884428606565,-59637.11406434942,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55935.48636859493,-56104.86788807725,-187500.02235174447,1479043596.923179,0
-48091.72279736076,-59305.45888012158,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55277.42866008624,-55802.78406176378,-187500.02235174447,1479043596.923324,0
-46741.78919098249,-58345.11617959931,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55240.25770905706,-55482.1929910413,-187500.02235174447,1479043596.923493,0
-46888.193117164745,-58596.84152565498,-187500.02235174447,-187500.02235174447,-187500.02235174447,-55938.12387444066,-55773.43622129396,-187500.02235174447,1479043596.923639,0
-48219.19479598937,-59576.83140955346,-187500.02235174447,-187500.02235174447,-187500.02235174447,-56032.269422086414,-56121.81051037437,-187500.02235174447,1479043596.923852,0
