channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-41949.39636580901,-35906.289327894374,-187500.02235174447,-31294.498597919777,-187500.02235174447,-59544.9578219602,-43852.58035094504,-187500.02235174447,1478948341.44761,0
-41310.87408195425,-37208.97134649412,-187500.02235174447,-31310.681260905418,-187500.02235174447,-58194.82304988182,-44097.01902830828,-187500.02235174447,1478948341.454519,0
-41434.14395262527,-37941.66152973909,-187500.02235174447,-32225.895789372422,-187500.02235174447,-57682.051680332625,-43973.74915763726,-187500.02235174447,1478948341.454978,0
-42069.648750978566,-36816.80999002576,-187500.02235174447,-32342.77306112922,-187500.02235174447,-58929.74840757232,-43691.93836354475,-187500.02235174447,1478948341.462537,0
-42052.23674204788,-35851.79577491233,-187500.02235174447,-31422.88701807106,-187500.02235174447,-59603.63115115537,-43766.548486536565,-187500.02235174447,1478948341.462994,0
-41390.71451314861,-36909.03328764836,-187500.02235174447,-31187.299631512124,-187500.02235174447,-58416.12767173382,-44063.11143196958,-187500.02235174447,1478948341.47182,0
-41338.29967240091,-37953.12797464466,-187500.02235174447,-32059.15177573583,-187500.02235174447,-57561.955757374264,-44022.140684383,-187500.02235174447,1478948341.472297,0
-41988.60132558362,-37073.8997547507,-187500.02235174447,-32416.93614923193,-187500.02235174447,-58642.23791864371,-43728.32700351799,-187500.02235174447,1478948341.477379,0
-42126.6456993396,-35884.3175630948,-187500.02235174447,-31567.77102563036,-187500.02235174447,-59570.55056936152,-43751.1257828624,-187500.02235174447,1478948341.477888,0
-41516.33131698744,-36637.16901983846,-187500.02235174447,-31118.67977603433,-187500.02235174447,-58645.836549501015,-44023.79471347269,-187500.02235174447,1478948341.484715,0
-41286.19775607559,-37906.479883966436,-187500.02235174447,-31911.496151864074,-187500.02235174447,-57541.190986775284,-44047.62167306205,-187500.02235174447,1478948341.492193,0
-41893.673466881926,-37313.3092896115,-187500.02235174447,-32483.320830264194,-187500.02235174447,-58383.33766261789,-43755.66318698683,-187500.02235174447,1478948341.4929,0
-42177.63002844215,-35984.520433487945,-187500.02235174447,-31768.355580372285,-187500.02235174447,-59518.56041175847,-43719.140436546855,-187500.02235174447,1478948341.499333,0
-41649.905341852354,-36373.284324799104,-187500.02235174447,-31119.17151441235,-187500.02235174447,-58897.94187521242,-43979.56061119564,-187500.02235174447,1478948341.500021,0
-41267.779918644424,-37799.45973151443,-187500.02235174447,-31755.32451335484,-187500.02235174447,-57587.54850477559,-44084.144423502024,-187500.02235174447,1478948341.506991,0
-41798.90207039143,-37551.08714712705,-187500.02235174447,-32482.538519208258,-187500.02235174447,-58102.73386272596,-43826.42880993233,-187500.02235174447,1478948341.507682,0
-42221.84177897475,-36166.4859850986,-187500.02235174447,-31961.51935595505,-187500.02235174447,-59393.77062246449,-43697.123968258384,-187500.02235174447,1478948341.515024,0
-41797.471558746285,-36156.31594137144,-187500.02235174447,-31171.765169115686,-187500.02235174447,-59137.53022402886,-43923.904767501925,-187500.02235174447,1478948341.515424,0
-41288.49998575449,-37630.77111611022,-187500.02235174447,-31631.629959539172,-187500.02235174447,-57754.828960279105,-44081.52926940075,-187500.02235174447,1478948341.522988,0
-41694.20649936277,-37728.24707367981,-187500.02235174447,-32494.7202199364,-187500.02235174447,-57938.47089272391,-43857.11775506947,-187500.02235174447,1478948341.523372,0
-42204.20625259951,-36368.27753404111,-187500.02235174447,-32173.27978292463,-187500.02235174447,-59266.09745813578,-43699.60501189292,-187500.02235174447,1478948341.529595,0
-41914.639403181005,-35995.40573303768,-187500.02235174447,-31267.60944934004,-187500.02235174447,-59331.52101415647,-43899.988400934744,-187500.02235174447,1478948341.529972,0
-41318.808951235886,-37416.753162950656,-187500.02235174447,-31488.444684558475,-187500.02235174447,-57918.82370934769,-44123.438790254455,-187500.02235174447,1478948341.537585,0
-41591.94726847974,-37864.86093579065,-187500.02235174447,-32452.363664193592,-187500.02235174447,-57766.653033095965,-43898.06615091159,-187500.02235174447,1478948341.538039,0
-42177.83119414225,-36588.397513436976,-187500.02235174447,-32397.22191062235,-187500.02235174447,-59103.68968292352,-43679.64490409433,-187500.02235174447,1478948341.544928,0
-42027.71687838041,-35866.43616753056,-187500.02235174447,-31453.173631808,-187500.02235174447,-59499.270856293544,-43842.54441768461,-187500.02235174447,1478948341.552586,0
-41395.006048084026,-37133.288339768456,-187500.02235174447,-31438.332073489677,-187500.02235174447,-58196.387671993696,-44096.84021435263,-187500.02235174447,1478948341.553007,0
-41493.867813809855,-37932.340852301226,-187500.02235174447,-32381.620392992547,-187500.02235174447,-57654.84960733052,-43984.79091939818,-187500.02235174447,1478948341.559351,0
-42124.11995221615,-36846.291940962314,-187500.02235174447,-32563.652999836566,-187500.02235174447,-58884.75434598379,-43711.04910505404,-187500.02235174447,1478948341.559744,0
-42125.706926072475,-35838.94352185053,-187500.02235174447,-31641.50943058842,-187500.02235174447,-59578.70895608771,-43812.23545220321,-187500.02235174447,1478948341.568166,0
-41501.60151739139,-36864.48626094893,-187500.02235174447,-31377.624735549063,-187500.02235174447,-58455.71261116417,-44088.52536541526,-187500.02235174447,1478948341.568551,0
-41429.15951361174,-37949.61875076518,-187500.02235174447,-32279.584679554067,-187500.02235174447,-57613.65534229939,-44017.78209421421,-187500.02235174447,1478948341.574519,0
