channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479044584.659197,0
-39009.6055280692,-43563.25937071555,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48728.94868003711,-41243.61768288824,-187500.02235174447,1479044585.155129,0
-38970.91465841707,-43545.75795480704,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48536.34369806573,-41141.179638049565,-187500.02235174447,1479044585.155529,0
-38815.19005479694,-43463.8611631228,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48396.13120509758,-41113.44112318053,-187500.02235174447,1479044585.15586,0
-38812.709011162406,-43462.83298287785,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48549.95591043901,-41205.21738591402,-187500.02235174447,1479044585.156183,0
-38985.84562371321,-43554.85511480035,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48724.32186893486,-41250.34555796928,-187500.02235174447,1479044585.156514,0
-38991.18769063803,-43557.20204796816,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48580.80131778733,-41156.3117690458,-187500.02235174447,1479044585.156834,0
-38826.25416830232,-43468.46562248059,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48389.38097827208,-41098.308992184284,-187500.02235174447,1479044585.157154,0
-38789.083217273146,-43450.003081560506,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48502.36904649366,-41183.312676347814,-187500.02235174447,1479044585.157475,0
-38947.065347083255,-43525.55197781944,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48705.36758963676,-41239.527313652914,-187500.02235174447,1479044585.157803,0
-39003.61526055518,-43555.52566713401,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48614.418341448116,-41169.94633316354,-187500.02235174447,1479044585.158124,0
-38859.804136729734,-43480.93789588665,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48410.57043201571,-41103.15932073109,-187500.02235174447,1479044585.158508,0
-38781.68478985844,-43443.498723924014,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48471.993025778895,-41173.38850180966,-187500.02235174447,1479044585.158742,0
-38933.25196900988,-43523.607376051834,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48703.93707799162,-41260.11327029625,-187500.02235174447,1479044585.158965,0
-39016.91454850609,-43562.05237651496,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48656.841952424285,-41193.50507181943,-187500.02235174447,1479044585.159179,0
-38880.434796861984,-43488.11280585681,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48420.338144342684,-41096.163224716576,-187500.02235174447,1479044585.15939,0
-38777.5050136453,-43438.179008743646,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48432.34103111518,-41147.30401603031,-187500.02235174447,1479044585.159599,0
-38895.32105866922,-43498.66282923971,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48667.01199615145,-41241.986005542996,-187500.02235174447,1479044585.159812,0
-39015.88636826115,-43562.45470791515,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48688.67083652864,-41209.73243829399,-187500.02235174447,1479044585.160023,0
-38920.17619850352,-43513.61614628031,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48469.757851333365,-41116.57036740427,-187500.02235174447,1479044585.160232,0
-38773.615810110074,-43429.32771793935,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48404.66957147951,-41122.650041896115,-187500.02235174447,1479044585.16044,0
-38849.768203469306,-43469.851430636816,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48614.84302459277,-41224.66340359014,-187500.02235174447,1479044585.160652,0
-39005.582214067246,-43551.74822232106,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48704.250002413995,-41226.09391523527,-187500.02235174447,1479044585.160862,0
-38948.00412035038,-43523.42856209619,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48502.01141858238,-41129.847303610724,-187500.02235174447,1479044585.161069,0
-38790.53608066274,-43435.54150289792,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48389.984475372374,-41112.636460380134,-187500.02235174447,1479044585.1613,0
-38823.326089778675,-43450.22659900506,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48574.60988457321,-41208.01135397093,-187500.02235174447,1479044585.161515,0
-38990.09245515972,-43537.77838203649,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48713.481272874036,-41230.67602284861,-187500.02235174447,1479044585.161725,0
-38970.31116131677,-43535.54320759096,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48540.03173590085,-41141.157286305104,-187500.02235174447,1479044585.161944,0
-38825.80713341321,-43467.750366658016,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48398.165213843014,-41120.616033150676,-187500.02235174447,1479044585.162134,0
-38817.71580192039,-43462.34124449983,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48544.97147142547,-41208.7266097935,-187500.02235174447,1479044585.162327,0
-38982.42580681155,-43545.64619608477,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48722.22080495606,-41251.99958705898,-187500.02235174447,1479044585.162515,0
-39013.1594554376,-43572.691806875686,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48599.8226523188,-41179.08819664576,-187500.02235174447,1479044585.162702,0
-38858.26186636232,-43494.19248034865,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48414.77255997331,-41123.32059422977,-187500.02235174447,1479044585.162888,0
-38807.813979126695,-43465.112860812296,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48513.85784314368,-41200.09883643375,-187500.02235174447,1479044585.163123,0
-38959.917600145054,-43535.073820957405,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48716.4987583755,-41257.63222666171,-187500.02235174447,1479044585.163341,0
-39014.54526359383,-43562.38765268179,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48631.78564688989,-41182.99975192544,-187500.02235174447,1479044585.163537,0
-38865.79440424376,-43482.27900055397,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48413.36440007263,-41101.102960241195,-187500.02235174447,1479044585.163727,0
-38782.48945265883,-43442.33643321234,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48465.93570303151,-41167.95702790702,-187500.02235174447,1479044585.163922,0
-38927.59697766268,-43520.07580042789,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48700.0925779453,-41261.5884854303,-187500.02235174447,1479044585.164113,0
-39033.23132195846,-43576.96099006665,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48679.46191781306,-41214.850987774254,-187500.02235174447,1479044585.164301,0
-38904.46292215144,-43510.37514333429,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48446.95907198895,-41118.85024533871,-187500.02235174447,1479044585.164489,0
-38792.212461496885,-43452.55118042841,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48438.30894688475,-41157.65287371312,-187500.02235174447,1479044585.164681,0
-38910.76611408783,-43516.5218730595,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48677.606723023266,-41260.11327029625,-187500.02235174447,1479044585.164878,0
-39023.128333464665,-43563.460536415645,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48692.984723208516,-41213.733400551486,-187500.02235174447,1479044585.165051,0
-38919.61740489214,-43504.67544849819,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48462.38177566311,-41104.254556209395,-187500.02235174447,1479044585.165222,0
-38783.897612559515,-43432.92634879665,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48408.55877501473,-41124.5052366859,-187500.02235174447,1479044585.165395,0
-38865.01209318783,-43480.78143367546,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48630.846873622766,-41238.38737468569,-187500.02235174447,1479044585.165565,0
-39023.37420265367,-43566.4333184282,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48731.54148239392,-41246.21048524505,-187500.02235174447,1479044585.165749,0
-38963.51623100236,-43534.6267860683,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48522.57502348126,-41139.14562930413,-187500.02235174447,1479044585.16593,0
-38800.326144734165,-43444.43749719113,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48398.47813826539,-41116.61507089318,-187500.02235174447,1479044585.166106,0
-38821.04621184424,-43453.10997403979,-187500.02235174447,-187500.02235174447,-187500.02235174447,-48569.111355437206,-41208.36898188222,-187500.02235174447,1479044585.166277,0
